QuestionID,Chapter,Topic,Question,OptionA,OptionB,OptionC,OptionD,OptionE,CorrectAnswer,Explanation
FA-Nephro-ABP & RTA-001,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,A 45-year-old female presents to the emergency department with a severe panic attack. She is hyperventilating and complains of perioral numbness. Arterial blood gas analysis is most likely to reveal which of the following sets of abnormalities?,"Decreased pH, decreased HCO3, decreased pCO2","Increased pH, decreased HCO3, decreased pCO2","Increased pH, increased HCO3, increased pCO2","Decreased pH, increased HCO3, increased pCO2","Decreased pH, normal HCO3, increased pCO2",B,
FA-Nephro-ABP & RTA-002,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,A patient with chronic kidney disease presents with profound lethargy. Laboratory evaluation reveals a metabolic acidosis with an elevated anion gap. Which of the following is the most appropriate mathematical formula used to calculate this patient's anion gap?,Na+ + (Cl- + HCO3-),Na+ - (Cl- - HCO3-),Na+ - (Cl- + HCO3-),(Na+ + K+) - (Cl- + HCO3-),Cl- - (Na+ + HCO3-),C,
FA-Nephro-ABP & RTA-003,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A patient is evaluated for chronic, non-anion gap metabolic acidosis. The physician suspects a Type 1 Renal Tubular Acidosis (RTA). Which of the following combinations of findings is most characteristic of this specific defect?",Urine pH > 5.5 and calcium phosphate kidney stones,Urine pH < 5.5 and hypophosphatemic rickets,Urine pH < 5.5 and hyperkalemia,Urine pH > 5.5 and severe hyperkalemia,Urine pH < 5.5 and uric acid stones,A,
FA-Nephro-ABP & RTA-004,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,A 50-year-old diabetic male with chronic kidney disease is taking an ACE inhibitor for hypertension. Routine lab work reveals a non-anion gap metabolic acidosis and significant hyperkalemia. Urine pH is 5.2. Which type of renal tubular acidosis does this patient most likely have?,Type 1 RTA,Type 2 RTA,Type 3 RTA,Type 4 RTA,Proximal RTA,D,
FA-Nephro-ABP & RTA-005,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A child presents with growth retardation and signs of hypophosphatemic rickets. Laboratory testing indicates a defect in the proximal convoluted tubule's ability to reabsorb bicarbonate, leading to its excretion in the urine. This condition is designated as which type of Renal Tubular Acidosis?",Type 1 RTA,Type 2 RTA,Type 3 RTA,Type 4 RTA,Distal RTA,B,
FA-Nephro-ABP & RTA-006,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A patient receives a large volume of normal saline infusion during a prolonged hospitalization. Subsequent blood work reveals a non-anion gap metabolic acidosis. According to standard physiological mnemonics, which of the following is also a recognized cause of a normal anion gap metabolic acidosis?",Diabetic ketoacidosis,Uremia,Salicylate toxicity,Diarrhea,Lactic acidosis,D,
FA-Nephro-ABP & RTA-007,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A pregnant female in her third trimester presents for a routine checkup. Arterial blood gas shows an elevated pH, decreased HCO3, and decreased pCO2. Her physiological state is a recognized cause of which acid-base disturbance?",Metabolic alkalosis,Metabolic acidosis,Respiratory alkalosis,Respiratory acidosis,Mixed metabolic and respiratory acidosis,C,
FA-Nephro-ABP & RTA-008,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A patient is brought to the ED after ingesting a large amount of antifreeze (ethylene glycol). He has a severe high anion gap metabolic acidosis. According to the MUDPILES mnemonic, which of the following common over-the-counter medications can also cause a high anion gap acidosis in overdose?",Ibuprofen,Loratadine,Paracetamol,Omeprazole,Diphenhydramine,C,
FA-Nephro-ABP & RTA-009,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A patient with primary adrenal insufficiency (Addison disease) presents with fatigue. Lab work reveals a metabolic acidosis. Upon calculating the anion gap, it falls within the normal range (6-12 mEq/L). According to the HARDASS mnemonic, which of the following is also a cause of a normal anion gap acidosis?",Methanol toxicity,Uremia,Salicylate toxicity,Hyperchloremia/hyperalimentation,Diabetic ketoacidosis,D,
FA-Nephro-ABP & RTA-010,Nephrology,Acid Base Physiology & Renal Tubular Acidosis,"A 60-year-old male on high-dose NSAIDs develops hyperkalemia and a non-anion gap metabolic acidosis. He is diagnosed with hypoaldosteronism. According to the mnemonic ""NO 4LDOESTERONE"", which type of Renal Tubular Acidosis does this represent?",Type 1,Type 2,Type 3,Type 4,Type 5,D,
FA-Nephro-AKI-001,Nephrology,Acute Kidney Injury,A 65-year-old male is admitted with severe congestive heart failure exacerbation. His urine output drops significantly. Laboratory tests show a BUN of 45 mg/dL and a serum creatinine of 1.5 mg/dL. Fractional excretion of sodium (FENa) is 0.5%. What type of casts are most commonly associated with this specific pre-renal etiology?,WBC casts,RBC casts,Hyaline casts,Granular casts,Waxy casts,C,
FA-Nephro-AKI-002,Nephrology,Acute Kidney Injury,"A patient undergoes a contrast-enhanced CT scan. Two days later, his serum creatinine acutely rises from 1.0 mg/dL to 2.8 mg/dL. Urinalysis reveals specific casts indicative of tubular epithelial damage. Which type of casts are classically seen in this patient's condition?",Hyaline casts,Muddy brown granular casts,WBC casts with eosinophils,Dysmorphic RBC casts,Fatty casts,B,
FA-Nephro-AKI-003,Nephrology,Acute Kidney Injury,"A 40-year-old female is treated with ibuprofen for chronic back pain. Three weeks later, she develops a fever, maculopapular rash, and rising serum creatinine. Urinalysis reveals WBC casts and pyuria with the presence of eosinophils. Which region of the kidney is primarily inflamed in this condition?",Glomerular basement membrane,Renal papilla,Tubular epithelium,Renal interstitium,Renal pelvis,D,
FA-Nephro-AKI-004,Nephrology,Acute Kidney Injury,A 25-year-old male with a known history of sickle cell disease presents with sudden onset of gross hematuria and flank pain. He is diagnosed with acute kidney injury due to damage to a specific structural region of the kidney highly susceptible to ischemia in this condition. Which condition has he most likely developed?,Acute interstitial nephritis,Acute tubular necrosis,Renal papillary necrosis,Post-streptococcal glomerulonephritis,Bilateral ureteral obstruction,C,
FA-Nephro-AKI-005,Nephrology,Acute Kidney Injury,"A patient with severe dehydration is suspected of having a prerenal acute kidney injury. In addition to a BUN/Cr ratio >20, what specific Fractional Excretion of Sodium (FENa) value strictly defines this prerenal state?",<1%,>1%,>2%,<2%,>3%,A,
FA-Nephro-AKI-006,Nephrology,Acute Kidney Injury,A patient recovering from septic shock develops acute tubular necrosis. The kidneys are unable to reabsorb Na+ or H2O. What specific Urine Osmolality value is classically expected in this intrinsic AKI state?,>500 mOsm/kg,>400 mOsm/kg,<350 mOsm/kg,<100 mOsm/kg,Variable mOsm/kg,C,
FA-Nephro-AKI-007,Nephrology,Acute Kidney Injury,An elderly male with benign prostatic hyperplasia presents with complete urinary retention. He develops postrenal AKI. Which class of medications is classically known to precipitate postrenal AKI by causing urethral compression or neurogenic bladder issues?,Beta-blockers,Anticholinergics,ACE inhibitors,Loop diuretics,Calcium channel blockers,B,
FA-Nephro-AKI-008,Nephrology,Acute Kidney Injury,"A patient develops a fever, rash, and eosinophiluria. He was recently prescribed a medication for gastric reflux. According to the ""5 Ps"" of Acute Interstitial Nephritis, which specific drug class is responsible?",Penicillins,Pain-free (NSAIDs),Pee (Diuretics),Proton pump inhibitors (PPIs),Rifampin,D,
FA-Nephro-Physio-001,Nephrology,Glomerulus & Renal Physiology,A medical student is studying the glomerular filtration barrier. The endothelium of the glomerulus acts as a size barrier. Molecules larger than what specific size are primarily prevented from being filtered by this endothelium?,10 nm,20-30 nm,50-60 nm,80 nm,100 nm,E,
FA-Nephro-Physio-002,Nephrology,Glomerulus & Renal Physiology,"A patient has a suspected decline in renal function. The physician decides to order a blood test that can be used to estimate GFR, as an alternative to creatinine. Which of the following endogenous substances is routinely used for this purpose?",Para-aminohippuric acid (PAH),Urea,Cystatin C,Inulin,Albumin,C,
FA-Nephro-Physio-003,Nephrology,Glomerulus & Renal Physiology,"A patient presents with a severe ureteral stone causing complete obstruction of the right ureter. According to the principles of glomerular dynamics, how will this constriction of the ureter alter GFR, RPF, and the filtration fraction (FF) in the affected kidney?","Decreased GFR, Unchanged RPF, Decreased FF","Decreased GFR, Decreased RPF, Unchanged FF","Increased GFR, Unchanged RPF, Increased FF","Decreased GFR, Increased RPF, Decreased FF","Unchanged GFR, Decreased RPF, Increased FF",A,
